Thread ID: 70233331333020
Fiber ID: 70233331295140
Total: 0.135067
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.09      0.000     0.000     0.000     0.000      200   ActiveSupport::Configurable#config 
  0.09      0.004     0.000     0.000     0.004      300   Logger::LogDevice#write 
  0.09      0.000     0.000     0.000     0.000      650   ActiveRecord::ConnectionAdapters::ConnectionPool#connection_cache_key 
  0.09      0.000     0.000     0.000     0.000       50   Rack::Request::Helpers#GET 
  0.09      0.001     0.000     0.000     0.001      150   ActiveRecord::Scoping::ClassMethods#current_scope 
  0.09      0.116     0.000     0.000     0.116       50   ActionDispatch::Integration::Runner#get 
  0.09      0.000     0.000     0.000     0.000       50   ActionController::MimeResponds::Collector#custom 
  0.09      0.000     0.000     0.000     0.000      250   String#to_sym 
  0.09      0.000     0.000     0.000     0.000      200   ActiveSupport::HashWithIndifferentAccess#default 
  0.09      0.000     0.000     0.000     0.000      200   ActionDispatch::Http::Parameters#path_parameters 
  0.09      0.001     0.000     0.000     0.001      100   ActionDispatch::Routing::UrlFor#initialize 
  0.09      0.000     0.000     0.000     0.000      350   Module#name 
  0.09      0.000     0.000     0.000     0.000      150   ActiveRecord::ConnectionAdapters::ConnectionPool#active_connection? 
  0.09      0.000     0.000     0.000     0.000      250   <Class::ActiveRecord::LogSubscriber>#runtime= 
  0.09      0.000     0.000     0.000     0.000      150   Time#minus_with_coercion 
  0.09      0.000     0.000     0.000     0.000      100   ActiveRecord::ConnectionHandling#connection_specification_name 
  0.09      0.000     0.000     0.000     0.000      150   Rack::Request::Helpers#get? 
  0.09      0.062     0.000     0.000     0.062       50   AbstractController::Base#process 
  0.09      0.000     0.000     0.000     0.000      300   ActionDispatch::Journey::Path::Pattern#to_regexp 
  0.08      0.024     0.000     0.000     0.024       50   ActionController::Rendering#process_action 
  0.08      0.102     0.000     0.000     0.102       50   ActionDispatch::Executor#call 
  0.08      0.001     0.000     0.000     0.001       50   <Class::ActionView::LookupContext::DetailsKey>#get 
  0.08      0.000     0.000     0.000     0.000       50   ActionDispatch::Routing::RouteSet::Generator#normalize_options! 
  0.08      0.000     0.000     0.000     0.000      200   Hash#each_value 
  0.08      0.000     0.000     0.000     0.000      150   ActionDispatch::Response#parse_content_type 
  0.08      0.001     0.000     0.000     0.001       50   <Class::ActionDispatch::Request::Session>#create 
  0.08      0.010     0.000     0.000     0.010      350   ActiveSupport::Callbacks::CallbackSequence#invoke_before 
