Thread ID: 70233331333020
Fiber ID: 70233331295140
Total: 0.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
   NaN      0.000     0.000     0.000     0.000       50   Integer#to_f 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::Instrumentation::ClassMethods#log_process_action 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::Railties::ControllerRuntime::ClassMethods#log_process_action 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::LogSubscriber#process_action 
   NaN      0.000     0.000     0.000     0.000       50   Exception#to_s 
   NaN      0.000     0.000     0.000     0.000       50   Exception#message 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::Instrumentation#append_info_to_payload 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::Railties::ControllerRuntime#append_info_to_payload 
   NaN      0.000     0.000     0.000     0.000       50   Exception#== 
   NaN      0.000     0.000     0.000     0.000      100   Exception#cause 
   NaN      0.000     0.000     0.000     0.000       50   <Class::ActionController::Base>#rescue_handlers 
   NaN      0.000     0.000     0.000     0.000      100   ActiveSupport::Rescuable::ClassMethods#find_rescue_handler 
   NaN      0.000     0.000     0.000     0.000      100   ActiveSupport::Rescuable::ClassMethods#handler_for_rescue 
   NaN      0.000     0.000     0.000     0.000      100  *ActiveSupport::Rescuable::ClassMethods#rescue_with_handler 
   NaN      0.000     0.000     0.000     0.000       50   ActiveSupport::Rescuable#rescue_with_handler 
   NaN      0.000     0.000     0.000     0.000      350   Exception#backtrace 
   NaN      0.000     0.000     0.000     0.000      350   Exception#exception 
   NaN      0.000     0.000     0.000     0.000      350   Kernel#raise 
   NaN      0.000     0.000     0.000     0.000      100   Exception#initialize 
   NaN      0.000     0.000     0.000     0.000       50   String#inspect 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::FileSystemResolver#to_s 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::PathSet#each 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::PathSet#compact 
   NaN      0.000     0.000     0.000     0.000      200   Array#inspect 
   NaN      0.000     0.000     0.000     0.000      550   Symbol#inspect 
   NaN      0.000     0.000     0.000     0.000       50   Hash#inspect 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::MissingTemplate#initialize 
   NaN      0.000     0.000     0.000     0.000      100   <Class::ActionView::Resolver>#caching 
   NaN      0.000     0.000     0.000     0.000      100   ActionView::Resolver::Cache#cache 
   NaN      0.000     0.000     0.000     0.000      100   ActionView::Resolver#cached 
   NaN      0.000     0.000     0.000     0.000      100   ActionView::Resolver#find_all 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::PathSet#_find_all 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::PathSet#find_all 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::PathSet#find 
   NaN      0.000     0.000     0.000     0.000      100   Kernel#eql? 
   NaN      0.000     0.000     0.000     0.000      300   Array#eql? 
   NaN      0.000     0.000     0.000     0.000       50   Hash#eql? 
   NaN      0.000     0.000     0.000     0.000      300   Array#hash 
   NaN      0.000     0.000     0.000     0.000       50   Hash#hash 
   NaN      0.000     0.000     0.000     0.000       50   Mime::Mimes#symbols 
   NaN      0.000     0.000     0.000     0.000       50   <Class::ActionView::Template::Types>#type_klass 
   NaN      0.000     0.000     0.000     0.000       50   <Class::ActionView::Template::Types>#symbols 
   NaN      0.000     0.000     0.000     0.000       50   <Class::ActionView::LookupContext::DetailsKey>#get 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::LookupContext::DetailsCache#details_key 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::LookupContext::ViewPaths#detail_args_for 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::LookupContext::ViewPaths#normalize_name 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::LookupContext::ViewPaths#args_for_lookup 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::LookupContext::ViewPaths#find 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::AbstractRenderer#find_template 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::TemplateRenderer#determine_template 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::AbstractRenderer#extract_details 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::TemplateRenderer#render 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::AbstractRenderer#initialize 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::Renderer#render_template 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::Renderer#render 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::OutputFlow#initialize 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::Context#_prepare_context 
   NaN      0.000     0.000     0.000     0.000       50   <Class::ActionController::Base>#_default_form_builder 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::FormBuilder#default_form_builder 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::Helpers::ControllerHelper#assign_controller 
   NaN      0.000     0.000     0.000     0.000      100   Kernel#instance_variable_set 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::Base#assign 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::Base#initialize 
   NaN      0.000     0.000     0.000     0.000      100   Kernel#instance_variable_get 
   NaN      0.000     0.000     0.000     0.000      100   Symbol#slice 
   NaN      0.000     0.000     0.000     0.000      100   Symbol#length 
   NaN      0.000     0.000     0.000     0.000       50   Kernel#instance_variables 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::Base#_protected_ivars 
   NaN      0.000     0.000     0.000     0.000       50   AbstractController::Rendering#view_assigns 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::Renderer#initialize 
   NaN      0.000     0.000     0.000     0.000      100   ActionView::Rendering#view_renderer 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::Rendering::ClassMethods#view_context_class 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::Rendering#view_context_class 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::Rendering#view_context 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::Rendering#_render_template 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::Streaming#_render_template 
   NaN      0.000     0.000     0.000     0.000       50   AbstractController::Rendering#_process_options 
   NaN      0.000     0.000     0.000     0.000       50   Hash#values_at 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::Rendering#_process_options 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::Streaming#_process_options 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::Rendering#render_to_body 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::Rendering#render_to_body 
   NaN      0.000     0.000     0.000     0.000       50   Hash#each_key 
   NaN      0.000     0.000     0.000     0.000       50   Set#each 
   NaN      0.000     0.000     0.000     0.000       50   <Class::ActionController::Base>#_renderers 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::Base#_renderers 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::Renderers#_render_to_body_with_renderer 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::Renderers#render_to_body 
   NaN      0.000     0.000     0.000     0.000       50   Symbol#=== 
   NaN      0.000     0.000     0.000     0.000     1450   BasicObject#== 
   NaN      0.000     0.000     0.000     0.000       50   TrueClass#=== 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::Layouts#_layout_for_option 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::Layouts#_include_layout? 
   NaN      0.000     0.000     0.000     0.000      150   Array#& 
   NaN      0.000     0.000     0.000     0.000       50   AbstractController::Rendering#_normalize_options 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::Rendering#_normalize_options 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::Layouts#_normalize_options 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::Rendering#_normalize_text 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::Rendering#_normalize_options 
